Age,Income,Spending Score,Education Level,Non-Linear Categorical Interaction
60,2549.6098999480546,8.977898063531512,High School,3.26791586324695
76,5418.850798614438,0.9914892305600755,Master,13.668547316060657
58,1910.540999100911,2.2347551870140627,Bachelor,9.474030286120442
28,-361.97258307836387,,PhD,9.199964140906118
30,-351.6717227095696,,High School,-1.0774857052790663
72,4691.2145034640835,3.6798895545303916,Master,9.668598351557183
72,4923.486026361501,5.350498131248615,Master,12.50690288711518
51,1476.5919103173276,-2.610925136925856,High School,-1.0208764119214233
75,5857.463113395805,3.554792987497609,High School,-3.091177826472791
31,407.703657161391,2.899182893061897,PhD,10.10283167102739
68,6054.777499082111,4.103697725392922,High School,-2.4222745596909783
23,2176.7866815009065,2.977000027936948,PhD,10.136822957793152
57,3300.9906322787638,4.390867003825384,PhD,10.255228957055717
72,5323.7376752331165,10.350872818127431,High School,3.7098233334677615
35,1875.2399721042207,0.0351673605774625,Master,10.142443103195347
27,1163.3314229993034,3.2145174043981504,Bachelor,2.4529559415734368
49,326.21823400209905,-0.417222274960666,Master,13.074317531321995
36,-1540.4755811727232,,Master,10.091233943504728
60,2260.129506448994,6.403498747370948,Bachelor,5.699382186997653
36,760.3823030107601,-10.056625576654639,Master,8.129180474361387
26,594.0023246541095,0.49122015031141064,PhD,6.768515627112469
75,5289.537957831979,8.393308745079363,PhD,16.186997582672895
76,6020.2290959469965,-2.9665170592086754,Bachelor,9.127865633395812
29,662.791539504207,-8.116670916881667,PhD,9.525530469537651
27,-706.5031494707673,,Master,6.621233666065649
23,2211.407423697222,-5.5194981170317945,Master,5.200102472261309
47,2110.9648926202626,2.7501748167666147,PhD,9.046392683681448
47,4838.97780729943,-3.3691960328159754,Bachelor,3.5099643575618047
26,2143.987621502909,-6.779689142565877,Master,7.648910333679632
53,1739.0750792009153,7.887331062152555,Bachelor,10.441672433147762
71,3877.027119361591,12.952372037683688,Master,14.051559492685655
74,5069.393875380779,6.582100877596768,Master,9.335293189214262
64,2189.1014630042214,12.440842681737212,Master,7.577085722339291
55,1508.7372886927196,6.941786544599278,Master,12.691574622848758
31,-1135.1936359649812,,Bachelor,3.8838965928467224
46,2325.643224401902,0.8703524638292759,PhD,9.293165402638888
64,4071.1663875499366,6.450862071055962,High School,-1.9385986943046019
58,2839.4756955624503,4.744023515265647,High School,1.116120175947064
78,6281.646034999002,-4.1552470160101995,High School,0.9292806484777553
46,2681.2913563120865,2.3646257925814176,Bachelor,10.371909492365651
22,1044.6336070948857,-2.074103049118701,PhD,7.328251025747541
30,833.5729084771746,-12.278210799749939,Master,7.436826382622262
63,3858.1438256496986,7.1316361054231505,PhD,18.38806644129498
47,3723.6775842326538,2.477589763076907,High School,-1.4955221801796381
30,331.29608021704655,0.8890235516406637,PhD,8.399242088236726
50,1902.3957976240627,-0.7215382849733789,PhD,13.652670782411224
67,3952.928024634611,8.15537193266526,PhD,15.81589188300356
67,4634.306907332043,3.0008368276653794,Bachelor,6.7727045991414005
41,722.9559644804467,-5.341447095612858,Bachelor,9.082119341823603
46,2277.9441146056965,-2.4931286033587345,PhD,10.568096958153507
77,6319.370867094159,-5.712644323661597,Master,14.419366876546457
27,797.4957147843762,4.4251329964848996,PhD,13.20435395768087
36,2069.49657669269,-8.08500294842742,PhD,12.665247909474875
44,3178.7616040224175,-4.889857707443211,PhD,12.508385536513844
54,3440.427184603386,5.077804773629815,Bachelor,4.722805183543264
55,2067.176226209503,12.518852990167176,Master,13.029568327416666
61,4402.740314605584,5.497190838621135,PhD,13.299688673753183
33,1351.9745491662588,-9.298608364340105,PhD,9.436041278496452
49,2144.6542111526514,6.280091392672112,Bachelor,5.558048938086653
70,5041.82811809374,6.493899878745048,Master,10.381334071119428
36,-133.03788133486046,,High School,-1.6194518855593545
35,3027.3927780643553,-5.826277831459655,Bachelor,7.191447376078482
62,3374.8517898246787,5.190548455579111,Bachelor,11.98886832351402
55,3608.019796175984,3.9986948782405953,High School,-0.6366444913675393
32,667.2966024383138,-17.465637839181372,Master,6.0888172543439145
63,4255.936132085784,7.670667836379223,High School,0.34215732933145127
20,-45.96959797694075,,High School,-0.3797347305943881
52,3222.8316797940183,10.636268231684276,Bachelor,6.411557914421456
25,1194.3831678038093,-4.270600925903863,PhD,10.924988346377688
23,-1029.139488445856,,PhD,5.65361072749139
67,5403.06196941028,7.459808134968471,High School,-0.8366029737543194
65,3940.384633830743,-0.9103617451023389,PhD,14.357726015927819
43,2495.1323051825016,-6.149987730483369,PhD,10.354294388981886
50,2258.769809920471,1.8544839350439979,Master,10.619895569951742
53,2000.85048222467,9.768350419624193,High School,-1.383541795585204
28,-30.250277374800362,,PhD,6.29421858221137
36,1742.913555418777,-14.025167881555646,High School,-0.7910862130817962
47,2213.456674837147,-0.9015454082039351,Bachelor,11.019195515425977
55,2530.753200155715,3.572018869644732,Master,8.767895318653302
53,654.9728218185419,-1.086425813044543,Bachelor,9.382220587974619
40,128.14771151589616,-3.242471252740921,Bachelor,5.940532773121827
25,1060.2222344771335,1.7803679412996818,PhD,6.669875932210351
45,1575.8443754671512,-5.1788001122806335,High School,-0.5460877587442255
60,3302.735142278478,0.5468034895579565,Bachelor,2.540415711204668
59,2981.960998648677,2.1968593385846766,PhD,12.815965717345671
66,4043.26481103793,6.163697293729907,Master,7.63690517667301
45,941.1812552695055,-0.6777620875075736,Bachelor,5.862799824727489
67,4330.186739723158,9.94374299563556,Master,8.153519033780043
51,2524.723476091203,-3.0098190198269554,Bachelor,5.964714674150644
22,750.2851059477257,-3.6615924895829672,High School,1.1230782714474388
48,3139.0272610764114,3.643249208795488,Master,7.338858001217741
51,2781.2224742509716,12.46430900278035,PhD,10.580726944882626
44,3220.9412056416213,3.657143422653555,PhD,7.902039267054384
30,2201.013796841573,-8.937883782951339,Master,7.556550786761227
79,5787.404261458356,9.02109751427388,Bachelor,7.7486365749254755
44,1054.037431274075,-3.489083036577352,Bachelor,6.445297963191613
62,3083.977054855032,8.843213290613388,Bachelor,6.659317050358605
37,2158.951171237273,-11.836258219213587,Master,7.465983319605825
48,2024.356389361016,11.888292132006828,Bachelor,8.450639042631042
71,5714.231025592818,9.40269440985817,Bachelor,6.256661054041909
76,5413.086516940897,2.888023635158993,Master,14.420228267190158
74,5660.8049461723185,5.618808916854334,PhD,16.874239928356825
33,40.24237069192054,-0.5928173674126369,PhD,13.548117735567104
64,4332.417617615914,7.127980263408195,Master,9.169142050947404
49,2667.020701344397,-3.491377422483782,PhD,16.006196249192172
46,1446.7757706920495,-1.3585172471323097,Bachelor,6.32358313987084
70,4218.295484462443,6.705360566951145,Bachelor,7.183143789060136
75,6421.367282413633,3.3557235224698365,Master,12.555840658435464
54,3637.2652071631865,0.5051459526217981,High School,-1.1160568068389767
68,1741.203113813147,6.15056789242046,PhD,13.04043019135637
47,1532.9532085123099,-0.4983006119742419,PhD,8.514999006781885
78,6345.867103900506,-8.942612514319672,Bachelor,9.938566045749212
43,1360.9042821013952,-7.7578315323793205,PhD,8.469488266192661
37,469.82031131472445,-13.939916015985261,High School,-4.050184453202693
65,4245.321800222482,10.698258042879631,High School,-1.8083467058524876
57,2015.4909669392393,5.344519119309899,Bachelor,4.162080746868883
48,1296.6629815444035,0.46442394721550534,Master,9.657836428753297
50,2032.5075338300499,13.529541409592046,Master,8.755475471101281
63,4531.157931578493,8.149469738671275,PhD,11.799968363659382
70,5789.603583301159,11.667549310101464,High School,-0.06563821382918908
77,4503.637514101669,-3.3230445131277797,PhD,17.74189454751955
